Hyb-10,Hyb-12,Hyb-16,Hyb-17,Hyb-22,Hyb-23,Hyb-24,Hyb-25,Hyb-30,Hyb-32,Hyb-34,Hyb-37,Hyb-39,Hyb-44,Hyb-58,Hyb-6
7731.905919,,9461.356828,,,,,,,,,,,,,8083.639058
7804.932943,,9472.700893,,,,,,,,,,,,,8098.843683
7834.883721,,9608.480319,,,,,,,,,,,,,8116.580972
7853.417174,,10181.94252,,,,,,,,,,,,,8121.076215
7900.053879,,10258.65948,,,,,,,,,,,,,8145.398108
7999.684373,,11097.10707,,,,,,,,,,,,,8164.863642
8061.274002,,11145.36417,,,,,,,,,,,,,8170.135747
8085.981395,,,,,,,,,,,,,,,8224.467975
8105.584802,,,,,,,,,,,,,,,8226.104506
8121.12116,,,,,,,,,,,,,,,8230.24031
8170.979588,,,,,,,,,,,,,,,8265.117393
8188.75969,,,,,,,,,,,,,,,8274.684475
8195.094937,,,,,,,,,,,,,,,8290.815257
8276.15212,,,,,,,,,,,,,,,8300.742633
8328.330233,,,,,,,,,,,,,,,8311.830309
8370.724508,,,,,,,,,,,,,,,8336.229185
8459.200612,,,,,,,,,,,,,,,8343.309989
8548.728724,,,,,,,,,,,,,,,8353.376959
8719.741149,,,,,,,,,,,,,,,8376.363974
8809.565891,,,,,,,,,,,,,,,8417.524539
8856.5974,,,,,,,,,,,,,,,8496.627907
8911.252249,,,,,,,,,,,,,,,8518.908149
8951.33387,,,,,,,,,,,,,,,8526.942108
8989.950339,,,,,,,,,,,,,,,8533.343429
9005.702508,,,,,,,,,,,,,,,8555.010954
9142.141481,,,,,,,,,,,,,,,8593.450878
9666.67921,,,,,,,,,,,,,,,8603.980442
9799.288285,,,,,,,,,,,,,,,8608.927434
9923.865285,,,,,,,,,,,,,,,8627.338242
10404.3434,,,,,,,,,,,,,,,8735.622841
,,,,,,,,,,,,,,,8746.063165
,,,,,,,,,,,,,,,8861.430337
,,,,,,,,,,,,,,,9040.093507
,,,,,,,,,,,,,,,9075.136384
,,,,,,,,,,,,,,,9119.412388
,,,,,,,,,,,,,,,9286.5411
,,,,,,,,,,,,,,,9551.103698
,,,,,,,,,,,,,,,9571.285232
,,,,,,,,,,,,,,,9640.904157
,,,,,,,,,,,,,,,9646.66804
,,,,,,,,,,,,,,,9663.642004
,,,,,,,,,,,,,,,9674.778173
,,,,,,,,,,,,,,,9805.615756
,,,,,,,,,,,,,,,9903.228886
,,,,,,,,,,,,,,,9922.991223
,,,,,,,,,,,,,,,9927.578821
,,,,,,,,,,,,,,,9928.597031
,,,,,,,,,,,,,,,9935.001638
,,,,,,,,,,,,,,,9998.736886
,,,,,,,,,,,,,,,10044.4431
,,,,,,,,,,,,,,,10055.64814
,,,,,,,,,,,,,,,10100.49285
,,,,,,,,,,,,,,,10114.31286
,,,,,,,,,,,,,,,10160.99502
,,,,,,,,,,,,,,,10239.19876
,,,,,,,,,,,,,,,10322.24031
,,,,,,,,,,,,,,,10460.53933
,,,,,,,,,,,,,,,10599.99739
,,,,,,,,,,,,,,,10620.70379
,,,,,,,,,,,,,,,10856.40698
,,,,,,,,,,,,,,,10956.60019
,,,,,,,,,,,,,,,11110.04901
,,,,,,,,,,,,,,,11222.40626
,,,,,,,,,,,,,,,11661.29779
,,,,,,,,,,,,,,,11737.559
,,,,,,,,,,,,,,,11892.58408
,,,,,,,,,,,,,,,11905.15988
,,,,,,,,,,,,,,,12941.67878
